date,Axis Bluechip,ICICI Bluechip,Kotak Bluechip,Nippon Large Cap,SBI Bluechip
2013-09-29,25.5911,,,,
2013-09-30,25.5987,14.8343,31.9301,13.1286,103.7595
2013-10-01,25.6067,14.9575,31.9686,13.2715,103.2655
2013-10-02,25.6141,,31.974,,
2013-10-03,25.6214,15.1916,32.0673,13.5608,103.3443
2013-10-04,25.629,15.2672,32.0989,13.5546,103.4092
2013-10-06,25.6434,,,,
2013-10-07,25.6508,15.3439,32.1285,13.6097,103.5211
2013-10-08,25.6587,15.3869,32.2513,13.6174,103.7122
2013-10-09,25.6659,15.6088,32.3213,13.7175,103.7191
2013-10-10,25.673,15.6447,32.301,13.7388,103.7396
2013-10-11,25.6801,15.7415,32.3317,13.9215,103.7572
2013-10-13,25.694,,,,
2013-10-14,25.7011,15.7324,32.3093,13.9362,103.8303
2013-10-15,25.7083,15.679,32.2883,13.8854,103.2589
2013-10-16,25.7154,,32.2938,,
2013-10-17,25.7225,15.5453,32.3189,13.7852,103.3326
2013-10-18,25.7294,15.7809,32.4268,14.0524,103.3672
2013-10-20,25.743,,,,
2013-10-21,25.75,15.8894,32.4775,14.1188,103.4516
2013-10-22,25.757,15.877,32.4872,14.115,103.4859
2013-10-23,25.764,15.8677,32.5233,14.0597,103.4986
2013-10-24,25.771,15.9415,32.5346,14.0033,103.5248
2013-10-25,25.7779,15.8675,32.5173,13.95,103.5569
2013-10-27,25.7917,,,,
2013-10-28,25.7986,15.8194,32.5484,13.8624,103.6375
2013-10-29,25.8056,16.1585,32.6515,14.119,103.332
2013-10-30,25.8127,16.1802,32.6125,14.2056,103.3571
2013-10-31,25.8195,16.2736,32.6518,14.3413,103.3858
2013-11-01,25.8264,16.2955,32.6454,14.4273,103.3966
2013-11-04,25.8466,,32.6618,,
2013-11-05,25.8532,16.2853,32.7174,14.4377,103.4962
2013-11-06,25.8599,16.3485,32.6265,14.4002,103.5239
2013-11-07,25.8666,16.3104,32.5983,14.28,103.5073
2013-11-08,25.8733,16.2705,32.5316,14.182,103.5326
2013-11-10,25.8867,,,,
2013-11-11,25.8933,16.24,32.4955,14.0904,103.5975
2013-11-12,25.8999,16.237,32.3947,14.0191,103.6068
2013-11-13,25.9068,16.17,32.4322,13.9225,103.6314
2013-11-14,25.9133,16.2613,32.4418,14.1196,103.6701
2013-11-15,,,32.4474,,
2013-11-17,25.9329,,,,
2013-11-18,25.9394,16.5226,32.4751,14.3228,103.396
2013-11-19,25.946,16.5334,32.5017,14.3778,103.4355
2013-11-20,25.9525,16.444,32.5391,14.1819,103.4681
2013-11-21,25.9591,16.1933,32.488,13.9415,103.474
2013-11-22,25.9656,16.2897,32.5096,13.9552,103.5041
2013-11-24,25.9785,,,,
2013-11-25,25.985,16.5718,32.5583,14.1929,103.6001
2013-11-26,25.9914,16.6084,32.5796,14.0636,103.6402
2013-11-27,25.9979,16.6986,32.6643,14.0241,103.7259
2013-11-28,26.0044,16.7602,32.7085,14.1461,103.7346
2013-11-29,26.0108,16.8709,32.7537,14.3277,103.3436
2013-12-01,26.0236,,,,
2013-12-02,26.03,17.0194,32.7932,14.4415,103.4284
2013-12-03,26.0368,17.0192,32.7924,14.469,103.4693
2013-12-04,26.0431,16.8619,32.7606,14.408,103.4962
2013-12-05,26.0494,16.979,32.8103,14.5651,103.5545
2013-12-06,26.0558,17.0086,32.8026,14.6049,103.5593
2013-12-08,26.0686,,,,
2013-12-09,26.0751,17.1451,32.8598,14.8292,103.618
2013-12-10,26.0815,17.1309,32.8561,14.7766,103.6308
2013-12-11,26.0879,17.1614,32.8339,14.72,103.6643
2013-12-12,26.0942,17.1221,32.8431,14.6114,103.7351
2013-12-13,26.1007,16.9744,32.807,14.4293,103.7247
2013-12-15,26.1136,,,,
2013-12-16,26.1199,16.9674,32.8574,14.5314,103.8019
2013-12-17,26.1264,16.9528,32.834,14.5878,103.3699
2013-12-18,26.1328,17.1442,32.9813,14.7942,103.4075
2013-12-19,26.1391,17.1041,33.0031,14.7525,103.4336
2013-12-20,26.1455,17.3408,33.0843,14.9808,103.4584
2013-12-21,,,33.09,,
2013-12-22,26.1582,,,,
2013-12-23,26.1645,17.3223,33.1548,15.0236,103.5236
2013-12-24,26.1709,17.2848,33.1496,15.0519,103.534
2013-12-25,26.1774,,,,
2013-12-26,26.1837,17.2918,33.1844,15.0569,103.5763
2013-12-27,26.19,17.4295,33.2216,15.1338,103.5893
2013-12-29,26.2029,,,,
2013-12-30,26.2093,17.3906,33.2426,15.058,103.6429
2013-12-31,26.2169,17.4279,33.267,15.1634,103.3941
2014-01-01,26.2235,17.4606,33.2578,15.1641,103.446
2014-01-02,26.2298,17.2465,33.2215,14.9258,103.4808
2014-01-03,26.2362,17.3062,33.2596,14.9541,103.506
2014-01-05,26.2489,,,,
2014-01-06,26.2553,17.3726,33.1183,14.9235,103.5815
2014-01-07,26.2617,17.3428,33.1179,14.856,103.5881
2014-01-08,26.2681,17.4401,33.1048,14.8357,103.5945
2014-01-09,26.2744,17.3968,33.1135,14.7928,103.5989
2014-01-10,26.2807,17.347,33.1133,14.7676,103.6477
2014-01-12,26.2934,,,,
2014-01-13,26.2998,17.4915,33.1891,14.9695,103.721
2014-01-14,26.3061,17.4504,33.185,14.8923,
2014-01-15,26.3125,17.6156,33.2341,15.0219,103.7752
2014-01-16,26.3189,17.5559,33.2535,15.0355,103.3942
2014-01-17,26.3252,17.2904,33.1938,14.8613,103.4134
2014-01-19,26.3379,,,,
2014-01-20,26.3443,17.432,33.2606,15.0026,103.4895
2014-01-21,26.3506,17.4136,33.2731,15.0291,103.5305
2014-01-22,26.357,17.4253,33.271,15.111,103.5532
2014-01-23,26.3633,17.459,33.2825,15.0994,103.5792
2014-01-24,26.3696,17.2293,33.2323,14.9307,103.6008
2014-01-26,26.3823,,,,
2014-01-27,26.3887,16.949,33.1357,14.6153,103.6718
2014-01-28,26.3949,16.9029,33.0627,14.531,103.6757
2014-01-29,26.4011,16.9315,33.059,14.5958,103.4118
2014-01-30,26.4072,16.8303,32.9481,14.4573,103.4259
2014-01-31,26.4134,16.9655,33.0176,14.6318,103.4429
2014-02-02,26.4258,,,,
2014-02-03,26.4319,16.8643,33.0118,14.4507,103.5223
2014-02-04,26.4381,16.886,32.9965,14.465,103.5533
2014-02-05,26.4443,16.9623,33.0271,14.4861,103.5806
2014-02-06,26.4505,16.9746,33.0351,14.4906,103.6157
2014-02-07,26.4568,17.0349,33.0979,14.5266,103.6364
2014-02-09,26.4692,,,,
2014-02-10,26.4754,17.0094,33.1096,14.4875,103.7039
2014-02-11,26.4816,17.0838,33.0822,14.5698,103.7273
2014-02-12,26.4878,17.1504,33.0892,14.6409,103.7487
2014-02-13,26.494,16.9622,33.0386,14.4582,103.7594
2014-02-14,26.5002,17.0933,33.0458,14.5321,103.785
2014-02-16,26.5127,,,,
2014-02-17,26.5189,17.1245,33.1427,14.5667,103.4821
2014-02-18,26.5252,17.3448,33.2698,14.7053,103.5059
2014-02-19,26.5314,17.4558,33.2091,14.8192,
2014-02-20,26.5376,17.3602,33.2042,14.7635,103.5667
2014-02-21,26.5438,17.534,33.2961,14.9225,103.5927
2014-02-23,26.5563,,,,
2014-02-24,26.5625,17.6829,33.4027,15.0174,103.6626
2014-02-25,26.569,17.7507,33.443,15.0578,103.687
2014-02-26,26.5753,17.8435,33.5375,15.1423,103.7081
2014-02-27,26.5816,,,,
2014-02-28,26.5879,17.9986,33.4958,15.2367,103.7646
2014-03-02,26.6005,,,,
2014-03-03,26.6068,17.9248,33.4822,15.108,103.4879
2014-03-04,26.6132,18.0637,33.6518,15.3215,103.4922
2014-03-05,26.6196,18.1757,33.72,15.4493,103.5515
2014-03-06,26.626,18.338,33.822,15.624,103.5859
2014-03-07,26.6326,18.4912,33.8733,15.7893,103.6353
2014-03-09,26.6458,,,,
2014-03-10,26.6523,18.5498,33.8479,15.8336,103.746
2014-03-11,26.6589,18.5457,33.9443,15.7797,103.8533
2014-03-12,26.6656,18.6535,33.918,15.775,103.8563
2014-03-13,26.6724,18.6354,33.8708,15.7414,103.9202
2014-03-14,26.6792,18.6636,33.8191,15.7305,103.9564
2014-03-17,26.6993,,,,
2014-03-18,26.7062,18.7905,33.8637,15.856,104.0619
2014-03-19,26.7131,18.8426,33.908,15.8849,104.0916
2014-03-20,26.7201,18.8054,33.9027,15.7631,104.0972
2014-03-21,26.727,18.8267,33.9409,15.8077,104.2069
2014-03-23,26.7409,,,,
2014-03-24,26.7484,19.0559,34.0039,15.9637,104.3035
2014-03-25,26.7554,19.1559,33.9937,16.0131,104.4319
